id,category,title,license_number,nce_ref,notes,website
13,Coffee Dealers,African Coffee roasters EPZ,1669,,,
59,Coffee Dealers,African Gold coffee Ltd,1567,235,,http://www.africangoldcoffee.co.ke
78,Coffee Dealers,African Tea and coffee Ltd,1590,165,,
8,Coffee Dealers,Africoff trading Company Ltd,1664,19,Coffee dealers; Private coffee warehousemen,africoff.co.ke
9,Coffee Dealers,Alanwood Limited,1665,51,Coffee dealers; Private coffee warehousemen,
81,Coffee Dealers,Baobab coffee limited,1594,2733,,
32,Coffee Dealers,Bekas Systems Ltd,1690,183,,
75,Coffee Dealers,Betco Coffee Co. Ltd,1585,68,,
61,Coffee Dealers,Buteco Limited,1570,255,,
33,Coffee Dealers,Caffe Delduca Ltd,1691,213,,http://www.caffedelduca.com
37,Coffee Dealers,Coffee Exporters Kenya Ltd,1695,64,,
2,Coffee Dealers,Connect Coffee company ltd,1658,245,,
60,Coffee Dealers,Crown farm Africa Ltd,1568,,,
47,Coffee Dealers,Delafarm Trading company Ltd,1555,2721,,
10,Coffee Dealers,Diamond Coffee Ltd,1666,52,Coffee dealers; Private coffee warehousemen,
6,Coffee Dealers,Dorman Coffee Limited,1662,78,,http://dormanscoffee.com/
5,Coffee Dealers,Dorman Limited,1661,78,,http://dormanscoffee.com/
14,Coffee Dealers,Eagle Crown coffee Ltd,1670,239,,
40,Coffee Dealers,East African Gourmet Ltd,1697,172,,
28,Coffee Dealers,EastMount Native Coffee Ltd,1686,,,
55,Coffee Dealers,Elite Exim Ltd,1563,,,
44,Coffee Dealers,Emcoff marketers Ltd,1552,,Has 2 Coffee Dealers licenses; Grower Marketer,
31,Coffee Dealers,Emcoff Marketers Ltd,1689,,Has 2 Coffee Dealers licenses; Grower Marketer,
15,Coffee Dealers,Faina Enterprises Ltd,1671,224,,
42,Coffee Dealers,Fenkil Expire Ltd,1700,,,
22,Coffee Dealers,First Cup Coffee Ltd,1679,247,,http://www.firstcupcoffeeltd.com/
70,Coffee Dealers,Freshday limited,1580,,,
43,Coffee Dealers,Gateway and Partners Ltd,1551,,,
76,Coffee Dealers,GGCJ Arabica coffee exporters ltd,1588,,,
50,Coffee Dealers,Global Afrea Ltd,1558,187,,
67,Coffee Dealers,Goldrock International Ent Co(K) Ltd,1575,15,,http://www.goldrockkenya.com/goldrockkenya.com/Coffee/Coffee.html
84,Coffee Dealers,Grainergy K. Ltd,1597,,,
64,Coffee Dealers,Homeciti Africa Ltd,1573,2724,,
83,Coffee Dealers,Hydergy (P) Ltd,1596,,,
27,Coffee Dealers,Ibero Kenya Ltd,1684,39,,http://www.iberokenya.com/aboutus
51,Coffee Dealers,Ikawa coffee ltd,1559,254,,
23,Coffee Dealers,Jaksco import export co. ltd,1680,,,
65,Coffee Dealers,Jemman coffee & mining co. Ltd,1576,,Coffee dealers; Private coffee warehousemen,
35,Coffee Dealers,Josra Coffee traders Ltd,1693,65,,http://josracoffee.com/
36,Coffee Dealers,Jowam Coffee Traders Ltd,1694,149,,jowamcoffee.com
24,Coffee Dealers,Jungle Macs (EPZ) ltd,1681,,Coffee dealers; Private coffee warehousemen,
12,Coffee Dealers,Kafe Koko Limited,1668,251,,
