"id","created","updated","title","slug","active","affiliation_name","producer_name","actor","lat","lon","notes","disambiguation","county_name_id","location","location_accuracy","location_notes","location_source","email","website","location_verified","description","photo","address","telephone"
7439,"2018-04-28 21:51:42.705418+00","2018-10-05 07:37:20.049391+00","3K F.C.S. Ltd_temp","3k_fcs_ltd",False,"","3K F.C.S. Ltd","Cooperative Society",NULL,NULL,NULL,"",27,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7440,"2018-04-28 21:51:00+00","2019-01-16 19:58:38.08052+00","AA.0001","ibonia_and_shanbrook_ltd",False,"Shanbrook Ltd","Ibonia and Shanbrook Ltd","Cooperative Society","-1.181683333","36.8195","","",14,"0101000020E610000037894160E5684240966957C82CE8F2BF","Verified","","WMS","","",False,NULL,"",NULL,NULL
7441,"2018-04-28 21:51:42.71816+00","2018-04-28 21:51:42.718178+00","AA.0004","rioki_and_rioki_estate_company_ltd",False,"Rioki Estate Co. Ltd","Rioki and Rioki Estate Company Ltd","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7442,"2018-04-28 21:51:42.724101+00","2018-04-28 21:51:42.724118+00","AA.0007","north_moor_and_mumwe_inv_ltd",False,"Mumwe Inv. Ltd","North Moor and Mumwe Inv. Ltd","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7443,"2018-04-28 21:51:42.730911+00","2018-04-28 21:51:42.730929+00","AA.0008","waverley_and_kiu_kenda_company_ltd",False,"Kiu Kenda Co. Ltd","Waverley and Kiu Kenda Company Ltd","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7444,"2018-04-28 21:51:00+00","2019-01-16 19:58:38.00805+00","AA.0010","nyala_and_kugeria_invest_ltd",False,"Kugeria Invest. Ltd","Nyala and Kugeria Invest. Ltd","Estate Producers","-1.134483333","36.86748333","","",14,"0101000020E61000006C169AB1096F42402679D1FED726F2BF","Verified","","WMS","","",False,NULL,"",NULL,NULL
7445,"2018-04-28 21:51:42.744224+00","2018-04-28 21:51:42.744243+00","AA.0015","doondu_estate",False,"","Doondu Estate","Small Estates",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7446,"2018-04-28 21:51:00+00","2019-01-16 19:58:39.596598+00","AA.0017","kiamara_and_mathara_holdings_ltd",False,"Mathara Holdings Ltd","Kiamara and Mathara Holdings Ltd","Estate Producers","-0.696279","37.0661813","","",14,"0101000020E6100000AA8DFBA078884240DB87BCE5EA47E6BF","Proximity","close","WMS","","",False,NULL,"",NULL,NULL
7447,"2018-04-28 21:51:00+00","2019-01-16 19:58:38.062954+00","AA.0018","fairview_estate",False,"","Fairview Estate","Cooperative Society","-1.18000185","36.84871622","","",14,"0101000020E6100000FF9EA3BBA26C42408504D09E49E1F2BF","Verified","","WMS","","",True,NULL,"",NULL,NULL
7448,"2018-04-28 21:51:42.766611+00","2018-04-28 21:51:42.76663+00","AA.0019","barua",False,"","Barua","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7449,"2018-04-28 21:51:42.772564+00","2018-04-28 21:51:42.772582+00","AA.0021","mulaki",False,"","Mulaki","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7450,"2018-04-28 21:51:42.77861+00","2018-04-28 21:51:42.778627+00","AA.0023","ngurunga",False,"","Ngurunga","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
7451,"2018-04-28 21:51:00+00","2019-01-16 19:58:39.890819+00","AA.0024","migaa",False,"","Migaa","Estate Producers","-1.137028585","36.84934777","","",14,"0101000020E61000004F8A7F6DB76C42401213B3E24431F2BF","Proximity","","WMS","","",False,NULL,"",NULL,NULL
7452,"2018-04-28 21:51:42.792263+00","2018-04-28 21:51:42.79228+00","AA.0025","kafaso_and_kiamumbi_fcs_ltd",False,"Kiamumbi F.C.S. Ltd","Kafaso and Kiamumbi F.C.S. Ltd","Estate Producers",NULL,NULL,"","",14,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,"",NULL,NULL
